pid,nombre,rut,sexo,edad
0,corban stacey,15286948-7,hombre,31
1,summer clements,13993032-0,hombre,29
2,sia begum,10348170-8,mujer,27
3,rochelle cain,46088353-9,hombre,27
4,ollie morrow,20180335-7,hombre,27
5,frederic brooks,37630974-6,mujer,44
6,aadam dunlop,66540267-3,hombre,33
7,jareth castillo,45631604-2,mujer,52
8,alesha roth,80885102-4,hombre,19
9,khia kline,22587614-2,mujer,22
10,clayton golden,29728267-0,mujer,27
11,toni morris,79029236-7,hombre,25
12,rahul horne,95435510-1,mujer,28
13,wyatt stephens,61662429-6,mujer,33
14,dulcie kearns,92931585-5,hombre,29
15,imogen wills,55994808-k,hombre,22
16,marianne mays,63688364-6,mujer,47
17,florrie pacheco,95185947-8,hombre,29
18,jaidon gay,84964932-9,mujer,36
19,clay huynh,54106148-7,mujer,18
20,alisa carpenter,56781936-1,hombre,39
21,darcie-mae hutton,99116865-6,hombre,37
22,tyrese bishop,54178021-1,mujer,29
23,nyah croft,68035652-1,mujer,26
24,evie-grace hayden,83131309-9,hombre,39
25,katie yoder,57078757-8,hombre,34
26,ottilie campos,78166652-1,mujer,28
27,jasper harvey,32359787-1,mujer,54
28,gabija norton,12460058-8,hombre,19
29,alexandra naylor,85594953-9,mujer,39
30,francis luna,35776394-0,mujer,46
31,mahi vargas,44171043-7,hombre,28
32,jonny cortes,24945173-8,mujer,25
33,ari tomlinson,14377401-5,hombre,21
34,cem buckley,54801563-4,hombre,30
35,roisin contreras,61514910-1,mujer,22
36,uma morales,77020926-9,mujer,19
37,shamima wormald,21924647-1,mujer,24
38,eleasha craig,58000701-5,hombre,24
39,caitlyn mckenzie,76160177-6,mujer,39
40,romilly heath,38317707-3,hombre,26
41,jordi thorne,59089616-0,mujer,57
42,malaki wiggins,94123958-7,hombre,21
43,adela cordova,85394005-4,hombre,21
44,alys schwartz,33298524-8,mujer,36
45,jill baker,40588157-8,hombre,57
46,jad mercer,62820832-8,mujer,20
47,darla childs,61995722-9,hombre,21
48,manav hampton,60211995-5,hombre,34
49,vijay palacios,51667797-k,mujer,20
50,laith paul,74357811-2,mujer,49
51,samirah o'brien,76356563-7,mujer,38
52,charlie rahman,99837067-1,mujer,22
53,eoin sosa,28060713-4,hombre,29
54,teddie leal,15614052-k,mujer,34
55,dillon reeves,83917354-7,mujer,34
56,alasdair lucas,27852199-0,hombre,56
57,sabah skinner,74895468-6,hombre,46
58,harriett castillo,81559564-5,mujer,24
59,macauley davison,63459997-5,mujer,32
60,reginald tanner,45717384-9,mujer,36
61,kacy stubbs,55012555-2,hombre,28
62,timothy senior,22274441-5,mujer,29
63,annabelle stephens,33090056-3,hombre,35
64,codie sampson,25342278-5,mujer,24
65,quinn munro,60574488-5,mujer,29
66,ethel colon,65855526-k,hombre,50
67,haley bonilla,55326528-2,hombre,19
68,afsana roth,31690607-9,hombre,21
69,loki snyder,13938471-7,mujer,45
70,milena bright,12957899-8,hombre,37
71,oliwia livingston,33572631-6,mujer,27
72,anne bray,34966889-0,mujer,27
73,alexandria garrison,47377094-6,hombre,30
74,awais berger,46187096-1,mujer,39
75,braiden hoover,26635765-6,hombre,29
76,charlene chester,79446327-1,hombre,38
77,simone akhtar,18969557-8,hombre,53
78,andrea chen,21840388-3,hombre,51
79,yisroel o'neill,69265725-k,mujer,19
80,arwen flores,47673879-2,hombre,34
81,kimora ridley,33461543-k,mujer,28
82,jayden-james mckay,38717290-4,mujer,25
83,jeff lane,69705129-5,hombre,21
84,mary manning,53234460-3,mujer,30
85,hermione ventura,58593290-6,hombre,27
86,nataniel miller,44100123-1,mujer,22
87,agnes singleton,43776217-1,mujer,34
88,florrie drew,59445067-1,hombre,55
89,grace o'moore,70851011-4,mujer,39
90,julia moses,77941465-5,hombre,39
91,keith mccall,53511335-1,mujer,40
