id,id_tienda,nombre,rut,edad,sexo,es_jefe
0,59,catalina luna,46251263-5,90,mujer,false
1,50,sergio galaz,92310665-0,47,hombre,false
2,88,catalina patino,77837095-6,55,mujer,false
3,69,nicolas henriquez,66922079-0,70,mujer,false
4,66,magdalena santibanez,79464991-k,74,hombre,false
5,80,lisandro pinto,22997103-4,42,mujer,false
6,0,leonardo bucarei,61890115-7,42,hombre,false
7,101,sofia pena,45347413-5,29,hombre,false
8,45,valentina gutierrez,54864080-6,75,hombre,false
9,50,simoney mora,86447590-6,26,hombre,false
10,34,martin bustos,45355149-0,54,hombre,false
11,90,diego caniullan,19942007-0,89,hombre,false
12,55,yanara carrasco,79263691-8,39,mujer,false
13,38,karla castillo,32165632-3,38,mujer,false
14,79,yaimara cisternas,66760004-9,83,hombre,false
15,71,pamela figueroa,49326776-0,91,mujer,false
16,5,aritza flores,97804380-1,67,mujer,false
17,55,giordano flores,83399209-0,20,hombre,false
18,47,danae gamboa,86260284-6,95,mujer,false
19,50,diego guajardo,19209075-k,74,mujer,false
20,47,bayron guzman,31653150-4,84,mujer,false
21,62,gabriela jimenez,64100872-9,26,hombre,false
22,46,orlando moraga,72629258-2,56,hombre,false
23,40,matias moreno,17263415-k,13,mujer,false
24,93,matias painequeo,18208603-7,85,mujer,false
25,70,sayenn pavez,90414316-2,26,mujer,false
26,89,gonzalo pino,16045471-7,88,mujer,false
27,0,benjamin quilacan,28792266-3,37,hombre,false
28,30,millaray ramos,68353685-7,56,hombre,false
29,41,aaron roa,99428020-1,83,mujer,false
30,46,martin rojas,24840265-2,66,hombre,false
31,59,yael salcedo,79850677-3,81,hombre,false
32,65,caceres san,95741388-9,57,mujer,false
33,11,lucas santibanez,77210598-3,63,hombre,false
34,46,luis torres,96187015-1,57,mujer,false
35,100,zithlali ulloa,68120110-6,28,hombre,false
36,58,javiera vasquez,56619171-7,66,hombre,false
37,22,jorge zumelzu,51616764-5,15,mujer,false
38,69,alan aceiton,60916764-5,97,hombre,false
39,12,paz aguayo,81252987-0,41,mujer,false
40,66,flores al,59192155-k,67,hombre,false
41,92,lucas araya,41391265-2,81,hombre,false
42,43,daniela arriagada,76041278-3,75,mujer,false
43,76,benjamin barria,78158392-8,43,mujer,false
44,33,franco benavides,49995619-3,97,mujer,false
45,66,genesis cardenas,37156185-4,59,mujer,false
46,2,sergio cardenas,85410626-0,24,hombre,false
47,3,antonio carrasco,10116173-0,72,hombre,false
48,51,ian carrera,88757035-3,30,mujer,false
49,97,barbara carvajal,68583239-9,42,hombre,false
50,5,ignacio castillo,35492826-4,59,hombre,false
51,5,alondra chamorro,86683089-4,91,mujer,false
52,96,francisca colima,28320055-8,67,hombre,false
53,93,constanza conejeros,86043030-4,87,mujer,false
54,15,ivanna contreras,27604578-4,44,mujer,false
55,35,martin flores,35412165-4,78,mujer,false
56,44,constanza gomez,80869010-1,40,hombre,false
57,96,franco gomez,86555166-5,34,mujer,false
58,39,javiera grandin,61036645-7,10,hombre,false
59,33,javier hurtado,40373818-2,84,mujer,false
60,95,lucas jara,24149278-8,84,mujer,false
61,86,benjamin jeria,43161018-3,95,mujer,false
62,44,felipe jilberto,67938721-9,16,hombre,false
63,38,constanza jorquera,18768050-6,32,hombre,false
64,46,javiera lizama,49881324-0,54,hombre,false
65,53,catalina lopez,36578275-k,28,mujer,false
66,16,isidora loyola,92505908-0,83,hombre,false
67,39,bruno mardones,16483997-4,36,hombre,false
68,101,antonella molina,91957885-8,53,mujer,false
69,30,escarlet morales,85930746-9,31,hombre,false
70,31,javier moya,43630977-5,30,mujer,false
71,27,xavier oyarzun,70876733-6,62,hombre,false
72,56,silvio peralta,36731956-9,81,mujer,false
73,74,yohao portales,42127645-5,70,hombre,false
74,65,cesia ramos,38158176-4,85,mujer,false
75,37,francisca reyes,48292072-1,33,mujer,false
76,50,benjamin rodriguez,86434438-0,30,mujer,false
77,80,juan sanchez,62974576-9,86,mujer,false
78,24,constanza sepulveda,71881591-6,53,hombre,false
79,47,lucas vasquez,16670974-1,74,hombre,false
80,32,matias vega,19027799-2,52,hombre,false
81,33,isidora villarroel,36669949-k,98,mujer,true
82,55,victoria adasme,58179139-9,75,hombre,false
83,52,alonso agurto,80146994-9,41,mujer,false
84,16,carlos antifil,34902561-2,99,hombre,false
85,49,maria aranda,27811535-6,34,mujer,false
86,89,ignacio arias,37653211-9,17,hombre,false
87,99,rocio bernales,78734770-3,95,hombre,false
88,53,amaro bravo,82260254-1,70,mujer,false
89,92,sebastian bustos,92253121-8,34,hombre,false
90,56,jacob cartes,53325503-5,98,hombre,false
91,86,martin celis,27423756-2,84,hombre,false
92,64,noelia cid,56840142-5,21,hombre,false
93,16,hugo cordova,99233768-0,37,hombre,false
94,72,rocio cuello,95541819-0,30,hombre,false
95,13,monserrat echeverria,61773216-5,28,hombre,false
96,11,fernando escobar,13635178-8,14,hombre,false
97,92,emily farias,93310611-k,40,hombre,false
98,15,isidora fernandez,85073231-0,89,hombre,false
