pid,rut
91,53511335-1
122,44770429-3
616,38895795-6
84,53234460-3
768,66714421-3
350,21672114-4
21,99116865-6
414,48459253-5
555,80438756-0
70,12957899-8
813,36304600-2
467,38578737-5
309,44840159-6
644,46930527-9
689,91957637-5
34,54801563-4
552,85743167-7
383,16315937-6
327,36692442-6
577,91995839-1
167,44060880-9
479,27003910-3
376,87548946-1
728,23047484-2
321,63699218-6
408,20789297-1
753,92390198-1
186,23970806-4
441,56474633-9
652,69822376-6
289,58366562-5
758,25919808-9
540,66199699-4
432,97404549-4
163,80843691-4
823,88667817-7
444,20467855-3
99,70733075-9
454,52650167-5
525,57041868-8
232,42678415-7
183,86367440-9
1,13993032-0
758,25919808-9
103,78156640-3
345,77785207-8
670,75020925-4
521,37117213-0
813,36304600-2
292,29950437-9
533,70202613-k
44,33298524-8
658,56930255-2
403,98296705-8
785,45273848-1
318,41266992-4
273,16836029-0
93,53747213-8
341,36706688-1
625,28673876-1
280,13068977-9
536,17167867-6
127,51827744-8
473,34975310-3
168,44604413-3
39,76160177-6
599,87244280-4
293,14240870-8
635,39043389-1
269,64063874-5
384,14885951-5
168,44604413-3
93,53747213-8
535,14197251-0
285,67609462-8
763,32153494-5
486,96735305-1
364,90739234-1
385,30775222-0
667,25609460-6
358,96828461-4
691,10537138-1
0,15286948-7
387,85055980-5
3,46088353-9
344,33006349-1
555,80438756-0
347,19142189-2
455,31194216-6
172,10619372-k
520,67629255-1
382,66398573-6
11,79029236-7
507,43123228-6
200,46787382-2
395,64269343-3
24,83131309-9
467,38578737-5
115,25198755-6
821,97163657-2
503,34776869-3
495,60139069-8
235,66478458-0
608,80308047-k
567,11341475-8
266,86819507-k
353,80228379-2
710,45026733-3
266,86819507-k
15,55994808-k
40,38317707-3
185,51093069-k
400,83330704-5
671,92386054-1
259,10254486-2
394,10619776-8
36,77020926-9
274,68903163-3
212,56485501-4
554,82270937-0
464,27183294-k
184,44749202-4
777,63968995-6
54,15614052-k
616,38895795-6
357,36205098-7
677,85516291-1
496,30991735-9
679,92244003-4
100,89200986-4
227,53609901-8
281,12673702-5
340,93433032-3
475,88408240-4
323,35480818-8
82,38717290-4
142,96863860-2
269,64063874-5
664,83469143-4
568,39006777-1
382,66398573-6
140,41704207-5
393,56350683-0
356,13592940-9
335,40597717-6
120,84729190-7
797,38100857-6
449,16689945-1
231,58976828-0
484,90007582-0
198,32211035-9
429,93635199-9
485,53281073-6
28,12460058-8
587,83605517-9
96,79861684-6
138,30854312-9
124,31459690-0
517,99223381-8
61,55012555-2
425,99937169-8
416,13890944-1
524,18454632-9
365,59137080-4
775,13947632-8
3,46088353-9
730,34414978-k
296,33802463-0
659,48333719-1
598,41325900-2
149,53171533-0
259,10254486-2
463,14408869-7
566,20026905-5
396,77366538-9
24,83131309-9
194,64651214-k
205,34012878-8
215,77214559-4
158,81955785-3
226,40127235-6
440,82693313-5
619,44290962-8
595,96213582-k
678,69186141-4
220,69251591-9
620,88495383-9
377,22977216-3
676,58378678-3
298,75295314-7
351,99463426-7
435,37376941-k
265,62036438-k
581,95367461-0
663,66899113-0
366,43329730-k
814,12177977-3
452,66185512-6
45,40588157-8
362,60031280-4
735,59749734-2
676,58378678-3
274,68903163-3
283,40644356-6
173,34846808-1
803,23686910-5
102,53329659-9
782,37285914-8
442,84911278-3
474,80558312-6
822,42714709-6
516,85831418-6
81,33461543-k
612,76081261-7
2,10348170-8
17,95185947-8
286,83028620-9
697,25002692-7
643,60727093-7
284,50321392-3
89,70851011-4
126,34183638-7
353,80228379-2
86,44100123-1
362,60031280-4
410,80508950-4
145,46962859-0
674,52698782-9
385,30775222-0
709,64367868-3
773,90494178-6
712,25399600-5
706,70019535-k
178,83386046-1
109,96213302-9
238,13690129-k
210,37220030-8
744,34039148-9
197,86164302-6
807,52258791-5
365,59137080-4
380,37742604-5
639,50728559-7
790,14495790-3
705,23625905-6
59,63459997-5
725,67216197-5
486,96735305-1
713,16943787-4
299,79687907-6
128,58496906-7
141,15460166-k
505,75328775-2
566,20026905-5
409,53456223-3
189,80282829-2
663,66899113-0
154,79758989-6
779,42494071-2
538,48630167-8
693,53331281-0
566,20026905-5
196,41226633-1
818,95423202-6
131,60747994-1
315,22169359-0
403,98296705-8
407,38470405-0
195,23819538-1
53,28060713-4
745,93591226-1
475,88408240-4
435,37376941-k
631,20996381-7
719,10927357-0
329,19150492-5
629,45624249-9
634,70551235-3
36,77020926-9
643,60727093-7
422,81234956-2
421,91888493-9
173,34846808-1
480,93129167-k
623,81783289-k
705,23625905-6
26,78166652-1
522,36600416-5
352,44372095-2
329,19150492-5
302,34603233-2
148,93207016-2
481,18067050-5
246,73557956-8
365,59137080-4
390,72429091-4
179,41740767-7
327,36692442-6
5,37630974-6
487,57829633-6
606,58191750-3
219,97675067-5
514,70366259-5
514,70366259-5
763,32153494-5
361,61892040-2
400,83330704-5
648,59129614-0
710,45026733-3
592,54252672-6
479,27003910-3
156,53038300-8
25,57078757-8
347,19142189-2
598,41325900-2
536,17167867-6
579,31726652-9
415,17070747-8
460,26135720-8
371,72856019-3
484,90007582-0
419,50319391-4
794,41775238-2
617,59982206-2
694,94559048-3
722,32086803-3
669,73290473-5
632,57639262-1
287,89077953-0
283,40644356-6
805,98357275-8
199,52247620-k
38,58000701-5
815,79974368-k
15,55994808-k
622,88151779-5
655,91258242-6
435,37376941-k
618,66658505-4
695,39038168-9
795,52792841-9
531,83123905-0
177,85884715-k
777,63968995-6
665,52158784-9
692,29557986-2
415,17070747-8
551,67902197-4
23,68035652-1
552,85743167-7
478,22760013-6
758,25919808-9
813,36304600-2
58,81559564-5
565,23494123-2
248,33911863-9
646,63953205-4
391,75281837-1
382,66398573-6
695,39038168-9
14,92931585-5
591,26541300-5
302,34603233-2
58,81559564-5
29,85594953-9
251,80600254-2
111,62832139-6
83,69705129-5
314,68155764-4
711,54746197-5
135,49166815-6
294,59150917-9
415,17070747-8
276,24796080-5
577,91995839-1
812,24655915-5
617,59982206-2
773,90494178-6
668,29381516-k
601,72018152-5
210,37220030-8
126,34183638-7
488,29803983-4
791,49552236-9
160,14811794-2
220,69251591-9
21,99116865-6
15,55994808-k
509,12205074-2
285,67609462-8
553,63214464-4
109,96213302-9
389,54122700-8
562,87094740-2
460,26135720-8
26,78166652-1
71,33572631-6
630,66295586-8
368,91461351-5
503,34776869-3
460,26135720-8
683,81881771-1
312,18902520-3
482,89118524-3
240,57133149-7
642,36750587-7
671,92386054-1
174,93009498-6
725,67216197-5
633,99108730-3
576,61127746-6
534,34048567-k
720,66976509-6
221,45385992-4
332,56093204-9
502,74500563-2
397,21875469-4
357,36205098-7
277,51193594-6
728,23047484-2
260,12166206-k
403,98296705-8
402,63382431-2
541,65809271-5
804,93129166-1
205,34012878-8
1,13993032-0
463,14408869-7
3,46088353-9
